,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
508,11.8868567971,33415666.5501,33.4156665501,0.783700984256,0.548435702597,0.953353797654,0.216299015744,234262.002705,1.05097237401,1.04551219381,10237206.7836,99021.0073923,17168178.1995,0.860484234124,0.448227454164,0.621067586767,0.435596540183,0.324794662244,0.474800895801,worst_case_rcp45_2016-2045 (dry)
509,15.6025816718,51654084.8379,51.6540848379,0.612981689625,0.585015373065,2.30572381848,0.387018310375,275884.283791,1.00516390407,0.667456253845,12773569.6479,99021.0073923,34124877.2655,0.8360174766,0.462806981936,0.643596509032,0.455103785957,0.323876203203,0.365052428281,worst_case_rcp45_2016-2045 (dry)
510,18.7189497071,44961379.1733,44.9613791733,0.78744183545,0.578431772689,0.942592598652,0.21255816455,200159.819669,0.889592518064,0.713950649377,7040624.77372,99021.0073923,15755392.4639,0.877787865474,0.463720316623,0.649888370205,0.453915815312,0.33336442974,0.47861649723,worst_case_rcp45_2016-2045 (dry)
511,114.170890979,21031023.3726,21.0310233726,0.971038456072,0.517187029967,0.338810935046,0.0289615439278,15350.5439611,0.184164132544,1.74829756377,264237.932875,99021.0073923,378770.732663,0.924746775186,0.5,0.666666666667,0.654721448605,0.446201401952,0.6032023972,worst_case_rcp45_2016-2045 (dry)
512,15.0087552705,40508147.0552,40.5081470552,0.750181599628,0.554945589784,1.97024137997,0.249818400372,224913.982568,1.53180181379,0.996459341009,21542700.646,99021.0073923,24590869.6809,0.863305093114,0.389182058047,0.539611663622,0.139597946102,0.304789844497,0.448446791354,worst_case_rcp45_2016-2045 (dry)
513,12.6716311199,36193912.6739,36.1939126739,0.755825821909,0.56577653814,1.54388494666,0.244174178091,238024.557451,1.46121160084,0.922929015888,15051134.3478,99021.0073923,27962180.1864,0.854688432327,0.455204316352,0.634463162168,0.438243254768,0.327733896882,0.422939944723,worst_case_rcp45_2016-2045 (dry)
514,13.003338048,32463876.9718,32.4638769718,0.776880483148,0.554822254512,1.14006800785,0.223119516852,208048.354276,0.896722596091,1.08385118561,7199216.87328,99021.0073923,16921251.5787,0.858920790753,0.455491847642,0.634530816589,0.443608551638,0.322797422461,0.464831881928,worst_case_rcp45_2016-2045 (dry)
515,22.0775504188,38727514.6335,38.7275146335,0.836478650526,0.536734218751,1.0073604617,0.163521349474,146179.844453,1.02464266032,1.07135100575,7808345.23891,99021.0073923,12390984.5489,0.889190292849,0.415677220756,0.576821595291,0.15204519393,0.324987971491,0.456123340515,worst_case_rcp45_2016-2045 (dry)
516,65.2391697136,22489562.1677,22.4895621677,0.970046099098,0.518350285519,0.28007577766,0.029953900902,28727.0697783,0.545358821496,1.56868850655,645991.598687,99021.0073923,1323371.49544,0.915834964487,0.5,0.666666666667,0.691105145871,0.420717838276,0.550346097971,worst_case_rcp45_2016-2045 (dry)
517,23.5132302506,36809087.0913,36.8090870913,0.8636268668,0.552587754172,0.800320410618,0.1363731332,130455.232717,0.96006121516,1.06616142716,6060049.71218,99021.0073923,9723977.01845,0.88463699109,0.432979838982,0.601583113456,0.407229852242,0.32572950794,0.498518147747,worst_case_rcp45_2016-2045 (dry)
518,,18923784.8548,18.9237848548,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.87791094087,0.0,99021.0073923,0.0,0.931095915851,0.5,0.666666666667,0.813075969636,0.47153051257,0.637932236441,worst_case_rcp45_2016-2045 (dry)
519,15.5085044359,40914550.7284,40.9145507284,0.770632544601,0.543383242522,1.33696083652,0.229367455399,219850.076978,0.853276498992,0.942257240587,5842586.07031,99021.0073923,17751960.9956,0.88054569567,0.45204147216,0.617854001759,0.374111136727,0.324829604535,0.49251907735,worst_case_rcp45_2016-2045 (dry)
520,17.2758513967,42874667.445,42.874667445,0.723015962182,0.544622274228,1017.25804025,0.276984037818,206814.059216,0.660543150304,0.999540646653,6453615.59153,99021.0073923,15603361.861,0.875817480412,0.349739530478,0.485183681754,0.00614642175372,0.293844748949,0.491989563562,worst_case_rcp45_2016-2045 (dry)
521,16.8372770144,42191869.9134,42.1918699134,0.750380047402,0.551840749485,1017.15605818,0.249619952598,208821.720784,0.715771846573,0.981083116229,6605622.5806,99021.0073923,14934291.7916,0.880166830679,0.349198295109,0.477606386577,-0.0365049359639,0.294445588823,0.490965150778,worst_case_rcp45_2016-2045 (dry)
522,15.3768505456,38205343.3003,38.2053433003,0.783356609519,0.542585078239,1.08997478411,0.216643390481,207050.110743,0.968504047042,1.03073907931,9390977.83845,99021.0073923,15904154.0084,0.880990853117,0.447770786821,0.616534740545,0.389836681618,0.318500526387,0.498082040254,worst_case_rcp45_2016-2045 (dry)
523,15.4936956697,40951137.9123,40.9511379123,0.752096614146,0.563505808309,1.5301541886,0.247903385854,220256.993475,1.29055883999,0.968521989707,14362883.2198,99021.0073923,24207178.3537,0.860087233471,0.437757932481,0.60510114336,0.375743397146,0.320104834665,0.410025342954,worst_case_rcp45_2016-2045 (dry)
524,18.6148313601,25268666.6965,25.2686666965,0.87583247641,0.516275153837,0.631469100598,0.12416752359,113120.671575,0.464375777609,1.54517043702,1762015.12864,99021.0073923,5189310.63824,0.893925312827,0.475678235573,0.65574047764,0.415966795828,0.328101677334,0.484546873169,worst_case_rcp45_2016-2045 (dry)
525,18.1772401505,24978479.9808,24.9784799808,0.876768607904,0.515989892189,0.623032106313,0.123231392096,114513.533472,0.475693177375,1.56142645019,1756371.55538,99021.0073923,5310681.3247,0.894108534808,0.499890061566,0.666666666667,0.503672700004,0.36008538635,0.490240705953,worst_case_rcp45_2016-2045 (dry)
526,18.4328472088,25740179.0454,25.7401790454,0.865746258911,0.516511433061,0.702585478262,0.134253741089,116369.158609,0.436938767099,1.53126331516,1748032.35718,99021.0073923,5323882.75926,0.894023610807,0.478714227725,0.656755293958,0.401275310443,0.339650666477,0.490179633199,worst_case_rcp45_2016-2045 (dry)
527,52.6147273049,20291545.1099,20.2915451099,0.969715846735,0.527863950334,0.346074735283,0.0302841532651,32138.5699235,0.729183043066,1.7126518355,1256747.76668,99021.0073923,1405460.69803,0.888783690501,0.5,0.666666666667,0.572200001993,0.401695502448,0.526251115144,worst_case_rcp45_2016-2045 (dry)
